image,source
000001.jpg,http://1.bp.blogspot.com/-zuk1YFctwzk/Uod9ztrEe0I/AAAAAAAACNc/erlPMLZjfWE/s1600/Banana1.jpg
000002.jpg,https://yummykitchentv.com/wp-content/uploads/2020/11/banana-fritters-1500x822.jpg
000003.jpg,https://3.bp.blogspot.com/-XBfFXoHAeY4/UooIaQYgpXI/AAAAAAAACSw/zVNf3EbJTQk/s1600/Pisang+goreng2.jpg
000004.jpg,https://www.foodelicacy.com/wp-content/uploads/2015/06/Banana_Fritters8D.jpg
000005.jpg,https://healthiersteps.com/wp-content/uploads/2016/10/banana-fritters2.jpg
000006.jpg,https://res.cloudinary.com/orthodox-union/image/fetch/c_fill,f_auto/https://oukosher.org/content/uploads/2016/01/Banana-Fritters-2.jpg
000007.jpg,https://seabitesseafood.com.au/wp-content/uploads/2020/10/Banana-Fritters-2-640x960.jpg
000008.jpg,https://oversixtydev.blob.core.windows.net/media/8120/banana-fritters-close.jpg
000009.jpg,https://pinoybites.com/wp-content/uploads/2020/07/Extra-Crunchy-Banana-Fritters-4-768x1024.jpg
000010.jpg,https://www.youtotallygotthis.com/wp-content/uploads/2017/06/Banana-Fritter-Portrait-1080x1620.jpg
000011.jpg,https://i.ytimg.com/vi/N8ANDl9M2Fo/maxresdefault.jpg
000012.jpg,http://2.bp.blogspot.com/-ZIgKtvBLips/TZ9qIpAw5kI/AAAAAAAAB8M/eHpCg-db238/s1600/Banana+Fritters.jpg
000013.jpg,https://3.bp.blogspot.com/-e4U1dDnHxCI/UsUj1-y2RMI/AAAAAAAAA0Q/g8zq8A-Jc4I/s1600/Banana+Fritters.jpg
000014.jpg,https://newsday.co.tt/wp-content/uploads/2019/05/3856230.jpg
000015.jpg,http://healthiersteps.com/wp-content/uploads/2016/10/banana-fritters-wb.jpg
000016.jpg,https://www.kannammacooks.com/wp-content/uploads/thai-banana-fritters-pic.jpg
000017.jpg,https://i2.wp.com/mareenasrecipecollections.com/wp-content/uploads/2016/08/pazham-pori-ethakka-appam-banana-fritters.1024x1024-8.jpg
000018.jpg,https://www.godairyfree.org/wp-content/uploads/2007/04/Banana-Fritters-edit-feature2.jpg
000019.jpg,https://2.bp.blogspot.com/-Av-ExliPEr8/VurthoAXVdI/AAAAAAAAPlg/4JnoPhd1I88i3ZoBgRztO15xSpmeveS-A/s1600/Homemade%2Bbanana%2Bfritter%2Brecipe.jpg
000020.jpg,https://fthmb.tqn.com/Cu5-MUnvPAEwJ8UHiZNWGJH5goc=/1500x1000/filters:fill(auto,1)/135602104-56a143685f9b58b7d0bd9916.jpg
000021.jpg,https://omgchocolatedesserts.com/wp-content/uploads/2014/09/Banana-Fritters-featured-new.jpg
000022.jpg,http://www.bhg.com.au/media/8941/170111-banana-fritters.jpg
000023.jpg,https://img.thrfun.com/img/148/287/fritters_x2.jpg
000024.jpg,https://tastethediversity.com/wp-content/uploads/2020/10/deep-fried-bananas-LAHKJUF.jpg
000025.jpg,https://www.ruchikrandhap.com/wp-content/uploads/2019/04/Jamaican-Banana-Fritters_1.jpg
000026.jpg,https://3.bp.blogspot.com/-uk8VnqAjA0I/TWJ4NPcKIDI/AAAAAAAAAJU/pB0W0X3S8IE/s1600/kuih+kodok.jpg
000027.jpg,http://africanbites.com/wp-content/uploads/2015/11/IMG_0043-41.jpg
000028.jpg,http://1.bp.blogspot.com/-GifGxNwBfJs/VBVfnie8QUI/AAAAAAAAB3I/c3QAxT5h3Ag/s1600/Airfried_bananas.jpg
000029.jpg,https://i1.wp.com/ashleyparamore.com/wp-content/uploads/2020/07/IMG_2588.jpg
000030.jpg,https://foodwini.com/wp-content/uploads/2019/03/gato-banane1-1024x683.jpg
000031.jpg,https://yummykitchentv.com/wp-content/uploads/2020/11/banana-fritters-01-1491x2048.jpg
000032.jpg,http://hungryandfit.com/wp-content/uploads/2014/09/photo-5-29-e1411448311875-768x1024.jpg
000033.jpg,http://www.ohbiteit.com/wp-content/uploads/2014/06/cbfb4.jpg
000034.jpg,https://www.thasneen.com/cooking/wp-content/uploads/2014/12/easy-banana-fritters1.jpg
000035.jpg,https://lovefoodies.com/wp-content/uploads/2015/11/Banana-Fritters3-696x614.jpg
000036.jpg,http://www.thasneen.com/cooking/wp-content/uploads/2014/12/banana-fritters1.jpg
000037.jpg,https://www.tasteefulrecipes.com/wp-content/uploads/2019/07/Banana-Fritters-2.jpg
000038.jpg,https://ashleyparamore.com/wp-content/uploads/2020/07/IMG_2602.jpg
000039.jpg,https://www.cookinggoals.com/wp-content/uploads/2020/05/Thai-Banana-fritter-2.jpg
000040.jpg,https://cdn.shortpixel.ai/client/q_lossy,ret_img/https://norecipes.com/wp-content/uploads/2015/05/banana-fritters-with-vanilla-caramel-sauce.1024x1024-11.jpg
000041.jpg,https://img-global.cpcdn.com/recipes/49298062/751x532cq70/banana-fritters-recipe-main-photo.jpg
000042.jpg,https://i.ytimg.com/vi/IBE6SRBHmao/maxresdefault.jpg
000043.jpg,http://d2droglu4qf8st.cloudfront.net/2015/07/230475/Elvis-Banana-Fritters_ExtraLarge1000_ID-1116131.jpg
000044.jpg,https://1.bp.blogspot.com/--AOGtPn4Fxo/Tr9obDRfMhI/AAAAAAAAApg/KNWnAYc8LKs/s1600/banana+fritters+final2+copy.jpg
000045.jpg,https://cdn.copymethat.com/media/orig_banana_fritters_recipe_filipino_recipes_201606252039252386935c963x.jpg
000046.jpg,http://www.angsaraprecipes.com/wp-content/uploads/2017/04/Banana-Fritters.jpg
000047.jpg,https://dessertrecipescorner.com/wp-content/uploads/2016/09/Banana-Fritters-Chocolate-Dessert-Recipes.jpg
000048.jpg,https://recipeyum.com.au/images/plantain--banana-fritters2.jpg
000049.jpg,https://66.media.tumblr.com/tumblr_l92bvgvKqc1qa1kbpo6_640.jpg
000050.jpg,https://www.lathiskitchen.org/wp-content/uploads/2018/01/IMG_20170831_104807298_InPixio-768x433.jpg
000051.jpg,https://images-na.ssl-images-amazon.com/images/I/71zxMjDPkPL._SL1500_.jpg
000052.jpg,https://thumbs.dreamstime.com/z/indian-food-raw-banana-fritter-which-traditional-popular-dish-made-dipping-slices-chickpea-flour-68868703.jpg
000053.jpg,https://www.kitchenathoskins.com/wp-content/uploads/2017/01/featureban2.jpg
000054.jpg,https://cdn.veganrecipeclub.org.uk/wp-content/uploads/2021/01/bananafritters1-1536x1053.jpg
000055.jpg,https://cdn-fastly.foodtalkdaily.com/media/2020/09/28/6259584/banana-fritters.jpg
000056.jpg,https://cdn-fastly.foodtalkdaily.com/media/2020/09/28/6259586/banana-fritters.jpg
000057.jpg,https://i.pinimg.com/736x/48/d2/71/48d27128ccea92fa1a2b3c0214293e3c--groups-ontario.jpg
000058.jpg,https://i.ytimg.com/vi/f-RGTvPaXAU/maxresdefault.jpg
000059.jpg,https://i.ytimg.com/vi/vZoq-jbfd9s/maxresdefault.jpg
000060.jpg,https://i.pinimg.com/736x/48/f3/5d/48f35da1a62b9a1fdd6d98feb95ad70d--chef-recipes-my-recipes.jpg
000061.jpg,https://i.ytimg.com/vi/C0hPuSqXAqQ/maxresdefault.jpg
000062.jpg,https://www.mrbreakfast.com/images/2991.jpg
000063.jpg,https://a8g4i9g5y.ssl.hwcdn.net/files/styles/food_image/public/image/aa/bb/18841-banana-fritters.jpg
000064.jpg,https://img.lybadvice.com/img/indian-desserts/353/deep-fried-banana-fritters.jpg
000065.jpg,https://img.lybadvice.com/img/southern-breakfast/967/Gulgulas-Indian-Banana-Fritters.jpg
000066.jpg,https://thesuperhealthyfood.com/wp-content/uploads/2022/05/how-to-make-banana-fritters-600x866.jpg
000067.jpg,https://i.pinimg.com/originals/48/28/c9/4828c9e1d44974d473f69ca060c437d8.jpg
000068.jpg,https://i.ytimg.com/vi/1GGOSiF-tTk/maxresdefault.jpg
000069.jpg,https://i.ytimg.com/vi/22zjJkKHBrY/maxresdefault.jpg
000070.jpg,https://i.pinimg.com/236x/3b/9a/e1/3b9ae17ab5dae8c670e34c19443db886--chocolate-coins-chocolate-banana-bread.jpg
000071.jpg,http://khatoonskitchen.com/wp-content/uploads/2014/09/gagan1-800x460.jpg
000072.jpg,https://cdn.idntimes.com/content-images/community/2022/05/banana-fritters-ingredients-768x509-8d825f9f15e638077f9459e439cbc4d9-35e6b3e3b88351fce161498afe5c525b.jpg
000073.jpg,https://galapagosincentives.com/wp-content/uploads/2022/01/no-banana-smoothies-luxury-11-quick-and-healthy-breakfast-smoothies-food-of-no-banana-smoothies.jpg
000074.jpg,https://media-cdn.tripadvisor.com/media/photo-s/06/64/2d/06/thaii-banana-fritter.jpg
000075.jpg,https://i.pinimg.com/236x/e7/e4/93/e7e49357008bdfc99401fa6e7bcd96fe--laos-recipes-ethnic-recipes.jpg
000076.jpg,http://khatoonskitchen.com/wp-content/uploads/2014/09/Haleem-Khichro-800x460.jpg
000077.jpg,https://img.lybadvice.com/img/southern-food/459/fresh-fruit-fritters.jpg
000078.jpg,https://i0.wp.com/34.229.69.82/wp-content/uploads/2022/05/Downloader.la-628a07b432ea9.jpg
000079.jpg,https://www.rd.com/wp-content/uploads/2018/05/04-3-768x512.jpg
000080.jpg,https://image.tmdb.org/t/p/w500/vAFtmTIaOWu7T7iIdXpDtQl9XVO.jpg
000081.jpg,https://i.pinimg.com/736x/14/40/92/144092211cf7d1dba8fd01e19ad40c85.jpg
000082.jpg,https://i.pinimg.com/originals/bf/be/d3/bfbed33c6b7d7d5e670a24b26a9a98c0.jpg
000083.jpg,https://lovingitvegan.com/wp-content/uploads/2019/01/Vegan-Zucchini-Fritters-Square-1-1024x1024.jpg
000084.jpg,https://i.pinimg.com/736x/ed/2a/17/ed2a1748a2a8d9189f211a44e9a655c8--filipino-recipes-filipino-food.jpg
000085.jpg,https://i.pinimg.com/236x/7f/5b/30/7f5b307b011a1495c3db7957864c8c94.jpg
000086.jpg,https://i.pinimg.com/originals/53/4e/7c/534e7c4027634f198b759754e00aa189.jpg
000087.jpg,https://i.pinimg.com/736x/e2/e7/13/e2e713e2d58fee3b14087c2f30c6fadb.jpg
