image,source
000001.jpg,https://fthmb.tqn.com/49c9wNf4u9S0iLySF3Y7V5FKu5U=/4128x3096/filters:fill(auto,1)/FriedBananas-5a13adb49e94270037e37319.jpg
000002.jpg,https://cdn.instructables.com/ORIG/FDQ/7WU4/GM9QKA2J/FDQ7WU4GM9QKA2J.jpg
000003.jpg,https://www.sirinyas-thailand.de/wp-content/uploads/2015/09/Thai-fried-bananas-photo-pantip.com_-1024x686.jpg
000004.jpg,https://inmamamaggieskitchen.com/wp-content/uploads/2020/05/Mexican-Fried-Bananas.jpg
000005.jpg,https://i.ytimg.com/vi/fQveS63Shh8/maxresdefault.jpg
000006.jpg,https://www.lutongbahayrecipe.com/wp-content/uploads/2019/03/lutong-bahay-recipe-fried-banana-1-951x1024.jpg
000007.jpg,https://simplyasia.co.za/wp-content/uploads/2019/01/901-Fried-banana-1140X1045.jpg
000008.jpg,https://imagesvc.meredithcorp.io/v3/mm/image?url=https:%2F%2Fcdn-image.myrecipes.com%2Fsites%2Fdefault%2Ffiles%2Fstyles%2Fmedium_2x%2Fpublic%2Fpan-fried-cinnamon-bananas.jpg
000009.jpg,https://blog.amigofoods.com/wp-content/uploads/2019/07/brazilian-fried-bananas.jpg
000010.jpg,https://inmamamaggieskitchen.com/wp-content/uploads/2020/05/Mexican-Fried-Plantain-Dessert-1062x1536.jpg
000011.jpg,https://1.bp.blogspot.com/-MEx-Dn4zxkE/Vvkyq30LcKI/AAAAAAAANKA/UaAECkqM01oUNi9egvU4U28u3rF6kmBMA/s1600/IMG_6592.1.jpg
000012.jpg,http://paleogrubs.com/wp-content/uploads/2017/12/5a-banana-recipe.jpg
000013.jpg,http://grandmotherskitchen.org/uploads/5123/files/recipe.jpg
000014.jpg,http://2.bp.blogspot.com/-hklflTW_glU/Tf1pfLfm9oI/AAAAAAAAKFA/JvVHiCkWtG0/w1200-h630-p-nu/SSWF-BananaDumplings.jpg
000015.jpg,https://i.ytimg.com/vi/U48PPB_uHO4/maxresdefault.jpg
000016.jpg,https://static.fanpage.it/wp-content/uploads/sites/22/2019/05/Vietnam-fried-bananas-8.jpg
