image,source
000001.jpg,https://www.lokataste.com/wp-content/uploads/2020/06/Pisang-Goreng-Recipe-1024x576.jpg
000002.jpg,http://1.bp.blogspot.com/-XVE7DSE1LGg/TZ7b0j1GVnI/AAAAAAAAACs/3doaa5Rl-ps/s1600/pisang_goreng.jpg
000003.jpg,https://cdn.kuali.com/wp-content/uploads/2003/06/07163116/Goreng-Pisang-830x553.jpg
000004.jpg,https://dailycookingquest.com/img/2013/11/pisang_goreng_oat2.jpg
000005.jpg,http://3.bp.blogspot.com/_gff_2S9TtBQ/SwlCaXjC5uI/AAAAAAAADzk/WV1xEjDK9XU/s1600/Goreng+Pisang+001.jpg
000006.jpg,http://3.bp.blogspot.com/-xMCJx07-L7E/UGY_-tJLOlI/AAAAAAAALPU/jHFpKQjj8hk/s1600/IMG_1510jk.jpg
000007.jpg,https://dailycookingquest.com/img/2018/08/pisang-goreng-madu-1.jpg
000008.jpg,http://3.bp.blogspot.com/_o4I0skPGvsY/S_ACv0pR6QI/AAAAAAABI1E/Fv4ZczGVQ-o/s1600/160510+282.jpg
000009.jpg,http://1.bp.blogspot.com/_56YSiAOwOF4/TE0ATgLHlQI/AAAAAAAAAPo/FBMOfGefA2I/s1600/pisang+goreng.jpg
000010.jpg,https://d12man5gwydfvl.cloudfront.net/wp-content/uploads/2020/06/shutterstock_783196261.jpg
000011.jpg,http://1.bp.blogspot.com/_o4I0skPGvsY/S_ACc59fi-I/AAAAAAABI08/69fCZmtJ-Ok/s1600/160510+281.jpg
000012.jpg,https://img-global.cpcdn.com/recipes/79b821eef7d01992/751x532cq70/pisang-goreng-indonesia-fried-banana-in-batter-recipe-main-photo.jpg
000013.jpg,https://1.bp.blogspot.com/_gff_2S9TtBQ/SwlCa7eemTI/AAAAAAAADzs/2C3hfG01RVM/s1600/Goreng+Pisang+002.jpg
000014.jpg,http://farm2.static.flickr.com/1039/546642934_f92187873b.jpg
000015.jpg,https://www.foodadvisor.my/attachments/ac62a14e5c30f653764b0708ee049f622f652960/store/fill/1000/500/fed38eae0468682270fab83cabe8906737fe497cc40d18c330f8637469ab/featured_image.jpg
000016.jpg,https://4.bp.blogspot.com/-vXpLWY-Mwdw/UGcbdsGw2CI/AAAAAAAALV8/lVjDIrY-GGc/s1600/IMG_8744jk.jpg
000017.jpg,https://2.bp.blogspot.com/-H_HB5bCevfk/VBGA7VSTHkI/AAAAAAAAH1I/kOKO4i_w7xo/s1600/20140908_165715.jpg
000018.jpg,https://www.mysabah.com/images/2013/20130526_7.jpg
000019.jpg,https://usercontent2.hubstatic.com/14533971_f520.jpg
000020.jpg,http://4.bp.blogspot.com/_0D6cmnE3Kv0/TCH_fOnknhI/AAAAAAAAAvQ/amM4Ey-n9vk/w1200-h630-p-k-no-nu/pisang+goreng.jpg
000021.jpg,https://1.bp.blogspot.com/-HmMOIcHDbQU/XUWABoUki_I/AAAAAAAAPWg/sDL4SyTyC8UELCgyPscC7wl1vYTsFLgwACLcBGAs/s1600/1%2B%252813%2529.jpg
000022.jpg,https://2.bp.blogspot.com/-1Fjf6KbP8XA/Vu1vOnxBU4I/AAAAAAAAASc/_m4YtfCIfY0Fl7dSwHJEbu2V5xEwbFvFw/s1600/Pisang-Goreng-Cheese-Kuala-Lumpur-Popular-The-Pisang-Cheese-3.jpg
000023.jpg,https://1.bp.blogspot.com/_gff_2S9TtBQ/SwlCbnlrG-I/AAAAAAAADz8/3wwaNLyV5iw/s1600/Goreng+Pisang+004.jpg
000024.jpg,https://oze.my/wp-content/uploads/2020/04/oze70-1.jpg
000025.jpg,https://www.sukajadihotel.com/wp-content/uploads/2016/07/pisang-goreng-768x506.jpg
000026.jpg,https://4.bp.blogspot.com/-V0n-tIKpr-c/VCj6ND4cRUI/AAAAAAAAJ64/IcLBr8BMd5Q/s1600/1.jpg
000027.jpg,https://st2.depositphotos.com/1150749/8572/i/950/depositphotos_85720124-stock-photo-fried-banana-pisang-goreng-traditional.jpg
000028.jpg,http://www.rosiegohres.com/wp-content/uploads/2014/09/IMG_0428-1024x682.jpg
000029.jpg,https://i.ytimg.com/vi/r2ELu6Y4wfc/maxresdefault.jpg
000030.jpg,https://i.ytimg.com/vi/6574LLG57YI/maxresdefault.jpg
000031.jpg,https://4.bp.blogspot.com/-8HgRs4sC1-A/UGcf8bcBAWI/AAAAAAAALWk/YiawpMrH2ug/s1600/IMG_8398jk.jpg
000032.jpg,https://i0.wp.com/grandlagunashop.com/wp-content/uploads/SASA-PISANG-GORENG-225G.jpg
000033.jpg,https://i.ytimg.com/vi/YuF6bXlPDms/hqdefault.jpg
000034.jpg,https://www.sabahtourism.com/assets/uploads/pisang-goreng-lpr.jpg
000035.jpg,https://1.bp.blogspot.com/-AumliGIgJxg/XxUHxDCZItI/AAAAAAAAL3Q/lRm6m1IfrzMznKsfhb5uPOHfQ-NX6dW-wCNcBGAsYHQ/w625-h351/42.jpg
000036.jpg,https://coconutandspice.com/wp-content/uploads/2019/03/pisang-goreng-recipe.jpg
000037.jpg,https://i.ytimg.com/vi/wSI4BdmxtPM/maxresdefault.jpg
000038.jpg,https://1.bp.blogspot.com/-EjtRx8O-IO8/UGcacVAilCI/AAAAAAAALVk/O2i9oGy6j4A/s1600/IMG_1523jk.jpg
000039.jpg,https://media.timeout.com/images/103939484/750/422/image.jpg
000040.jpg,https://img.restaurantguru.com/ce92-Restaurant-Pisang-Goreng-Crispy-dessert.jpg
000041.jpg,http://2.bp.blogspot.com/_Xkb20G6ASNk/Sn0gfh6kixI/AAAAAAAAAgU/KEmXbslUeyo/w1200-h630-p-k-no-nu/cempedak3.jpg
000042.jpg,https://i.pinimg.com/originals/35/54/2f/35542fbb8e55295601d89949456ecece.jpg
000043.jpg,https://t-2.tstatic.net/medan/foto/bank/images/Resep-Kreasi-Pisang-Goreng-ala-Restoran.jpg
000044.jpg,https://img.restaurantguru.com/c8cd-Restaurant-Pisang-Goreng-Crispy-food.jpg
